Class,Precision,Recall,F1 Score,Support
dyed-lifted-polyps,0.896,0.8235294117647058,0.8582375478927203,136
dyed-resection-margins,0.8614457831325302,0.9407894736842105,0.89937106918239,152
esophagitis,0.8244274809160306,0.6923076923076923,0.7526132404181185,156
normal-cecum,0.9735099337748344,0.91875,0.9453376205787781,160
normal-pylorus,0.9798657718120806,0.9864864864864865,0.9831649831649831,148
normal-z-line,0.7474226804123711,0.8579881656804734,0.7988980716253443,169
polyps,0.8962962962962963,0.9029850746268657,0.8996282527881041,134
ulcerative-colitis,0.9272727272727272,0.9503105590062112,0.9386503067484663,161
